ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2062,20.483652,23.767181,24.320272,18.835276,19.312378,24.12503,1212.2540971962735,617.8026107721962,684.7740543074906,766.0592507338151,521.6183070559055,662.5217257998884,,
2063,20.54129,24.447113,24.035522,19.056906,20.026266,23.821371,454.2023918882478,1851.740438863635,1387.4250962398946,427.9381264059339,624.2710104212165,905.861766426824,,
2064,20.026163,24.112051,23.859802,19.488047,19.807535,23.873209,788.036416657269,1142.643864476122,809.9035751307383,889.1113914549351,892.243212251924,867.748188204132,,
2065,18.855886,24.166525,24.715647,19.663382,19.598257,23.725647,607.9799784114584,1121.8198858201504,1281.180928624235,925.521594285965,893.5961271752603,595.4382914467715,,
2066,20.594574,25.058624,24.282135,19.521372,20.477356,23.484121,1000.1843412173912,804.1171456687152,1284.3318111263216,704.2683567618951,696.5812684153207,772.9790721321478,,
2067,19.97103,25.19101,23.982544,18.98997,20.102264,23.234293,1111.747098597698,1677.1657118573785,1010.6618838384748,632.9992483835667,548.8002067431808,740.7006620429456,,
2068,20.539093,24.734293,24.64505,20.733164,20.506714,23.899994,850.1023003365844,741.120500152465,516.9046249939129,970.1573207974434,770.3471713000908,875.7106797478627,,
2069,19.718271,25.174814,24.29716,19.143167,19.45337,25.185852,1302.1662327228114,1016.0316206049174,727.447925764136,628.2068734522909,940.118699404411,770.7558227120899,,
2070,20.413565,25.126413,24.75122,18.510193,20.2176,24.206411,718.4854008257389,1253.8259541615844,1031.5119511680678,375.2973435795866,746.998869557865,192.2253876866307,,
2071,20.262686,25.219126,24.330536,19.434479,20.594534,23.926413,473.3194585656747,1267.9328754195012,1025.7128771860152,1424.9733473639935,682.389913208317,603.4058861550875,,
2072,21.422556,24.9681,24.970102,19.729218,19.615662,23.727335,986.0116717871279,601.6337011009455,1017.3167939297855,803.5442974884063,652.5250766426325,498.4699856839143,,
2073,20.524515,25.713888,24.801249,19.693075,19.657867,23.526754,716.2313438253477,634.7037323866971,783.618021919392,806.0357677051798,985.4532949626446,635.9309753403068,,
2074,20.691376,24.924479,24.719238,17.910471,19.843231,23.807404,884.6539639751427,833.5990215651691,759.7185897175223,1241.9426991138607,593.4318829094991,588.5017591528594,,
2075,20.270945,24.767874,24.018911,19.347757,20.950134,23.772186,933.138346625492,943.6461935983971,902.8338533593342,737.0433644391596,1167.6207840442657,765.6953030498698,,
2076,20.419739,25.073008,24.425009,19.544931,21.428986,24.347992,747.4340789252892,1599.8775749467313,1588.0377037916332,670.66219097469,917.7886373363435,582.6430147164501,,
2077,19.711557,24.665253,23.399546,20.028189,21.289804,23.963022,877.2690509911627,475.4632792901248,1091.8163948692381,559.4243309344165,747.2721892758273,758.0439476994798,,
2078,20.155233,25.102285,23.408194,19.822357,21.489594,23.255056,1036.9976454880089,1190.682772337459,532.0855697966181,675.2721834462136,758.8110313983634,613.3828754536808,,
2079,20.52476,26.197378,24.434418,19.541168,21.05606,24.498087,954.5530171715654,310.92144552385435,1241.7441001860425,1279.271742515266,586.7107779951766,1203.5027673002332,,
2080,19.921906,24.888845,24.209625,19.291077,21.443909,23.939047,686.3291523652151,1040.4515262460336,1534.5330949639902,813.4378624381498,729.4418557430618,697.0103356288746,,
