ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
2089,27.909058,24.543488,28.970215,26.444458,23.090393,25.378326,28.754333,29.443726,26.196411,160.45589133136673,238.89314689440653,185.79404921838432,167.59190109441988,133.48343598190695,167.34029702784028
2090,28.104736,23.796387,28.50174,26.715088,22.24472,25.489166,28.264862,29.556366,25.188568,152.46109213476302,179.53669555136003,169.992377042945,168.68178323929897,165.30686378100654,166.77396988961846
2091,28.988281,24.042938,28.077911,25.490051,22.689423,24.24942,28.133423,30.392853,25.877441,170.33120858977782,214.62547332630493,142.98213926958852,136.49201210355386,160.12266934703803,141.11507074412657
2092,28.448456,23.873749,27.762115,26.697083,22.599396,24.31601,28.468323,29.02008,25.010712,149.59969577612355,162.90355253586313,195.73961538408184,140.6882720795693,171.9465181537089,146.32964449556312
2093,27.953674,23.113678,29.108246,26.314056,21.780853,25.531677,28.403046,29.725037,25.207458,202.62463696708437,180.46550396611565,145.3810500090185,182.97097426620894,156.25375702948077,138.53449042580905
2094,28.736877,23.561707,29.456238,25.779358,23.153198,25.239716,28.265442,29.08609,25.916504,149.25024438416585,216.56764628423844,162.90787565958453,124.34588456817437,136.75391252618283,152.29936086398084
2095,27.634796,23.470947,27.762177,28.300903,21.980103,25.977692,29.13556,29.611145,25.141449,100.825452808931,187.1731340608676,184.66066865657922,138.56861758686136,160.3563571086852,177.16749857354444
2096,27.311646,23.959503,28.050293,27.373962,22.847565,26.971222,28.423615,30.341309,25.887482,171.655022710911,216.31244449527003,123.12014044291573,159.6937213136698,113.58580260712188,141.10456414309738
2097,28.104248,23.87326,27.678253,26.714172,22.199554,25.516266,28.481506,29.854828,26.514343,175.97687010420486,147.4717476456135,142.47561659140047,196.19130505307112,151.5607929759426,132.96736229531234
2098,26.930023,22.578888,27.802399,26.917236,21.838837,25.700775,28.251404,29.631195,26.404938,154.2142461563344,172.70081342576304,218.31248108355794,101.84937904123217,130.77999334054766,158.52268862072378
2099,26.806824,24.006287,29.446411,25.44748,22.247772,25.40799,28.837952,29.949554,26.118713,114.71978621411836,235.64615868235705,150.60171741060913,129.3460942368256,150.92809110501548,163.4871473244857
2100,27.666992,22.938751,28.799591,26.512543,21.690826,24.714752,28.18103,30.189087,25.566711,144.3735571068828,239.0816085782717,152.1558185129834,204.64539462846005,123.93681880203076,147.61448813660536
